"p_sw" "p_dip" "kurt" "var" "skew"
"NCU01859" -0.624244418039381 -0.166874311690264 2.5349022161927 0.0131927920804739 0.329050613783285
"NCU01785" -0.86656173995668 -0.468868520088444 2.26600586336371 0.0592721816394408 -0.0909463248118206
"NCU05089" -2.33333607640665 -0.381582501025309 1.88171442643233 0.875873747960175 -0.0336063349314766
"NCU04355" -0.368627171075501 -0.614398408424541 2.51659791609568 0.0134747335694996 -0.153889031723992
"NCU05633" -3.59795654171756 -0.10803238095085 3.66860519817826 0.0261948755558095 -0.669215560137733
"NCU10169" -0.263333629320854 -0.508403546415842 2.70465107571266 0.0271283826392445 -0.226841185017404
"NCU00397" -0.259481093668828 -0.0500227358768229 2.59566659022663 0.166419128683496 -0.0453655861849651
"NCU05278" -0.362853361054339 -0.0158331182944222 2.87287600383474 0.0350196505240062 -0.38751754249581
"NCU06110" -0.518958204554024 -0.00494226777958841 3.11573026886477 0.0552328324868582 0.279325359662282
"NCU09106" -0.804380538459847 -0.133035077652052 3.58067809557265 0.0241803923124102 -0.188932230964722
"NCU00463" -0.166310249272823 -0.00995188474616799 2.74072023757365 0.0284873565482546 -0.221140248517502
"NCU09541" -3.84957505109249 -0.12351173146908 2.47705225324446 0.204767114580268 0.63275859613001
"NCU02343" -0.554593463472466 -0.111816620972442 2.59179873498743 0.638533427711313 0.241310921567363
"NCU05989" -0.153133993849789 -0.0362033741545441 2.31473083931549 0.0786531733783441 -0.0341018695461672
"NCU08158" -0.204048732776734 -0.0487167101643193 2.4435923804562 0.0405495473475842 0.0378188905980976
"NCU01154" -1.51607118127099 -0.0681708576076344 2.1124230971651 0.0632484583440859 0.207940540955401
"NCU02036" -0.298230549524715 -0.428687901567484 2.64804465247827 0.026671429614349 -0.288813348340565
"NCU11169" -0.687534174877514 -1.36110228501183 2.61169772334911 0.0297607850965675 -0.295494529247927
"NCU06737" -0.229520446634209 -0.11028543258182 3.54417819425589 0.0403110463329147 0.048426752533684
"NCU07822" -1.02763453159776 -0.507323734104348 2.71741741034769 0.188296452777515 0.296224330196411
"NCU06347" -1.27480974653447 -0.754280478134819 2.30774960429786 0.0228037048770187 -0.313366549683036
"NCU02094" -1.36837360002121 -0.00603597904943886 2.33651664394172 0.033793032384385 0.0392552409573831
"NCU03330" -1.75582487443672 -1.82627984637329 2.02904352327559 0.00999242241139935 -0.105088078302626
"NCU00336" -1.80046254123081 -0.499913955335463 2.93290616467096 0.0939743388219186 -0.57014802134715
"NCU02539" -0.729986192014635 -0.134585365411679 2.43411448390891 0.0262120090709391 -0.251784360523699
"NCU01344" -1.6918425696292 -0.232528460751405 2.33059478283088 0.0176914209184145 -0.405090856103709
"NCU03083" -0.167687209746101 -0.082595759106429 2.65856054706763 0.0298045086352297 -0.0248184972650382
"NCU04457" -1.13599780944092 -0.319107285506039 2.27321363543926 0.022013360335612 -0.328323975111441
"NCU07425" -1.41494569076545 -0.203317380480142 2.79145480107499 0.0934163014791186 0.488943475192068
"NCU03174" -0.488830155016818 -0.509719676244594 2.76314518327227 0.0158100437819361 0.0937016517724404
"NCU10833" -0.858570897799056 -0.151223762459578 2.3025748633002 0.030255604973434 -0.199260346837142
"NCU09012" -3.40517995673597 -0.113619163994183 3.88018695814709 0.0277750492737747 -0.0740820029656652
"NCU02502" -3.29207951125765 -0.0338187458236958 2.00437114984812 0.221189051417398 0.311857835086982
"NCU05618" -0.0809895048086844 -0.00196548447406209 2.74752510184415 0.15701818690484 -0.186685547308857
"NCU00537" -1.27632357271078 -1.67828953100748 2.70975810818953 0.035477433308653 0.360706671475992
"NCU11246" -1.6376559570494 -0.496983925101682 4.32510965378794 0.0158747520529101 -0.630590468350221
"NCU08299" -0.553602766921835 -0.426802886871712 3.19865321399208 0.0699379904649457 -0.211275116419922
"NCU06039" -1.25162229940577 -0.682356618670716 3.14081518061876 0.023835926274254 -0.432326962821804
"NCU01844" -1.40980528198264 -1.21686336716337 2.50288837634177 0.0468739882720698 -0.313560810347365
"NCU06512" -2.65365068736639 -0.00504164666165782 3.24183732482836 0.073620192570724 -0.663852974972983
"NCU02005" -0.120147071153695 -0.120670729781651 2.89417263878871 0.0986048486277421 -0.0670645831952571
"NCU06729" -0.656248946818642 -0.995983286609671 2.14137814436982 0.0615120437672522 -0.00331675952666195
"NCU04665" -0.566645721222896 -0.418675302275054 3.41502357063007 0.054975627699383 0.332318179814955
"NCU04598" -0.347401630889774 -0.100506593247661 2.74669450733341 0.0223501206691036 -0.180969882950107
"NCU05012" -0.618809820520104 -0.112622620178468 2.26411809031331 0.226623257891496 -0.163765739472589
"NCU09492" -0.0973193960996263 -0.330739301708538 2.96327354326523 0.0260942770272006 -0.0159849166756865
"NCU03386" -1.02972918776033 -0.229289677979331 2.90849478719451 0.0780029188430689 -0.480250004896971
"NCU04049" -1.92541282930199 -0.74650206280205 2.32652727168507 0.140219038923405 0.200075129214399
"NCU02078" -1.29214085454491 -0.0353542042402624 2.256338805861 0.00781004928789053 -0.314570291575447
"NCU04332" -2.71812236109058 -0.417645215055767 2.37693551613555 0.0923902492083211 0.472521063288999
"NCU07569" -1.90719615959743 -0.0103800035984986 4.18692604569036 0.257534993988659 0.608617554349499
"NCU11325" -0.37756651759853 -1.49977110089539 2.38135654153378 0.0445596537822981 -0.0220063684458125
"NCU08000" -0.895222094018264 -1.18568274097493 2.13697061379773 0.0163231203996728 0.0171914756677639
"NCU00471" -0.569075163358508 -0.000720700382359689 3.22218207692248 0.241007000688883 -0.0641099448893319
"NCU08922" -0.186719328698193 -0.0767519939104689 2.68185952314569 0.214213033629358 -0.275996696526219
"NCU06033" -0.290168686475134 -0.0180457310848644 2.32548204611677 0.0118911599056934 0.051069485052606
"NCU02960" -1.4680587484787 -0.0233095463005293 2.65990529743921 0.0262956399826676 -0.268278469111369
"NCU02156" -0.443735978382591 -0.142275339873597 2.7424065695005 0.0294106734915589 -0.378477493065784
"NCU03982" -2.24978575629201 -1.66722805398717 1.99391870959639 0.0328832013573062 -0.0829430683938875
